Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat,9,0,3700,4574.380955558607,3410.855800000718,7631.285400013439,426.0,0.5002329241993335,0.0,3700,3700,5600,6600,7600,7600,7600,7600,7600,7600,7600
,Aggregated,9,0,3700,4574.380955558607,3410.855800000718,7631.285400013439,426.0,0.5002329241993335,0.0,3700,3700,5600,6600,7600,7600,7600,7600,7600,7600,7600
