Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/healthz,2209,0,9,14.807395201597798,2.22239998402074,249.41660001059063,71.0,137.02782338979117,0.0,9,13,17,20,28,39,69,96,240,250,250
,Aggregated,2209,0,9,14.807395201597798,2.22239998402074,249.41660001059063,71.0,137.02782338979117,0.0,9,13,17,20,28,39,69,96,240,250,250
